context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
tier,1,0.14,0.14,0.14,0.14
victorian,1,0.14,0.14,0.14,0.14
college,1,0.14,0.13,0.14,0.14
rugby,1,0.12,0.11,0.12,0.12
soccer,1,0.1,0.1,0.1,0.1
basketball,1,0.09,0.08,0.09,0.09
championship,1,0.08,0.08,0.08,0.08
represented,1,0.08,0.07,0.08,0.08
clubs,1,0.07,0.07,0.07,0.07
division,1,0.07,0.07,0.07,0.07
stadium,1,0.07,0.06,0.07,0.07
teams,1,0.06,0.06,0.06,0.06
plays,1,0.06,0.06,0.06,0.06
former,1,0.06,0.05,0.06,0.06
cup,1,0.06,0.05,0.06,0.06
university,1,0.06,0.05,0.06,0.06
currently,1,0.05,0.05,0.05,0.05
baseball,1,0.05,0.05,0.05,0.05
canadian,1,0.05,0.04,0.05,0.05
born,1,0.05,0.04,0.05,0.05
melbourne,1,0.04,0.03,0.04,0.04
17,1,0.04,0.03,0.04,0.04
america,1,0.04,0.03,0.04,0.04
field,1,0.02,0.02,0.02,0.02
last,1,0.01,0.0,0.01,0.01
since,1,0.01,0.0,0.01,0.01
hood,1,0.05,0.04,0.05,0.05
mordellistena,1,0.04,0.04,0.04,0.04
elm,1,0.02,0.01,0.02,0.02
rubber,1,0.02,0.01,0.02,0.02
polo,1,0.53,0.53,0.53,0.53
supply,1,0.36,0.35,0.36,0.36
irrigation,1,0.2,0.2,0.2,0.2
fresh,1,0.18,0.17,0.18,0.18
flowing,1,0.17,0.17,0.17,0.17
reservoir,1,0.15,0.15,0.15,0.15
shallow,1,0.14,0.14,0.14,0.14
land,1,0.11,0.11,0.11,0.11
quality,1,0.11,0.11,0.11,0.11
salt,1,0.1,0.09,0.1,0.1
deep,1,0.07,0.06,0.07,0.07
food,1,0.05,0.04,0.05,0.05
pond,1,0.04,0.03,0.04,0.04
gas,1,0.04,0.03,0.04,0.04
coal,1,0.02,0.01,0.02,0.02
flour,1,0.02,0.01,0.02,0.02
tongue,1,0.46,0.44,0.46,0.46
fried,1,0.02,0.0,0.02,0.02
butter,1,0.02,0.01,0.02,0.02
cheese,1,0.02,0.0,0.02,0.02
soup,1,0.02,0.0,0.02,0.02
sky,1,0.53,0.52,0.53,0.53
channel,1,0.21,0.2,0.21,0.21
tv,1,0.13,0.13,0.13,0.13
sun,1,0.13,0.12,0.13,0.13
television,1,0.08,0.08,0.08,0.08
frog,1,0.92,0.91,0.92,0.92
leopard,1,0.07,0.05,0.07,0.07
lemon,1,0.15,0.13,0.15,0.15
peach,1,0.12,0.1,0.12,0.12
cultivation,1,0.07,0.06,0.07,0.07
potato,1,0.03,0.01,0.03,0.03
elephant,1,0.11,0.09,0.11,0.11
lion,1,0.09,0.06,0.09,0.09
bowls,1,0.03,0.02,0.03,0.03
monkey,1,0.02,0.0,0.02,0.02
heels,1,0.02,0.01,0.02,0.02
icc,1,0.01,0.01,0.01,0.01
inc,1,0.03,0.01,0.03,0.03
egg,1,0.02,0.0,0.02,0.02
dish,1,0.02,0.0,0.02,0.02
concerto,1,0.71,0.7,0.71,0.71
sonata,1,0.35,0.35,0.35,0.35
violin,1,0.31,0.31,0.31,0.31
cello,1,0.26,0.25,0.26,0.26
lessons,1,0.23,0.22,0.23,0.23
piano,1,0.2,0.2,0.2,0.2
guitar,1,0.14,0.14,0.14,0.14
solo,1,0.12,0.12,0.12,0.12
orchestra,1,0.09,0.09,0.09,0.09
music,1,0.07,0.06,0.07,0.07
version,1,0.01,0.01,0.01,0.01
major,1,0.01,0.0,0.01,0.01
tape,1,0.94,0.94,0.94,0.94
track,1,0.25,0.24,0.25,0.25
people,1,0.06,0.06,0.06,0.06
