context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
rings,4,0.01,0.0,0.01,0.01
wheat,4,0.11,0.1,0.02,0.21
egg,3,0.15,0.13,0.02,0.34
eggs,3,0.11,0.11,0.07,0.17
flour,3,0.19,0.19,0.07,0.43
shell,3,0.07,0.06,0.06,0.08
both,3,0.01,0.01,0.01,0.02
fresh,3,0.06,0.06,0.02,0.13
light,3,0.03,0.03,0.02,0.04
style,3,0.02,0.02,0.01,0.03
popular,3,0.01,0.01,0.01,0.01
frame,3,0.08,0.07,0.01,0.21
attack,3,0.03,0.01,0.03,0.04
suffering,3,0.01,0.01,0.01,0.01
muscle,3,0.03,0.03,0.02,0.05
fear,3,0.16,0.15,0.04,0.4
plantations,3,0.31,0.31,0.24,0.43
blossoms,3,0.07,0.06,0.02,0.14
similar,3,0.05,0.04,0.01,0.12
died,3,0.01,0.0,0.01,0.01
cultivated,3,0.04,0.02,0.03,0.04
engagement,3,0.01,0.0,0.01,0.01
drinks,3,0.05,0.05,0.03,0.08
jesus,3,0.01,0.0,0.01,0.01
public,3,0.06,0.05,0.02,0.11
power,3,0.05,0.04,0.04,0.06
cat,3,0.27,0.26,0.05,0.63
leopard,3,0.14,0.14,0.07,0.19
dog,3,0.21,0.21,0.04,0.42
breed,3,0.18,0.18,0.08,0.34
book,3,0.02,0.01,0.02,0.02
boy,3,0.02,0.01,0.01,0.03
than,3,0.02,0.01,0.01,0.02
boxing,3,0.01,0.0,0.01,0.01
wrestlers,3,0.01,0.0,0.01,0.01
restaurant,3,0.03,0.01,0.03,0.04
silver,3,0.02,0.01,0.01,0.03
usually,2,0.01,0.0,0.01,0.01
joe,2,0.01,0.01,0.01,0.01
rate,2,0.01,0.0,0.01,0.01
filled,2,0.03,0.02,0.03,0.03
end,2,0.02,0.01,0.01,0.02
horseshoe,2,0.03,0.02,0.02,0.04
last,2,0.03,0.03,0.02,0.05
came,2,0.02,0.01,0.01,0.02
sandwich,2,0.09,0.09,0.09,0.1
soda,2,0.07,0.06,0.06,0.08
store,2,0.02,0.01,0.01,0.02
building,2,0.02,0.01,0.02,0.02
cellar,2,0.01,0.0,0.01,0.01
ring,2,0.03,0.01,0.03,0.04
purple,2,0.04,0.02,0.03,0.05
