,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,tool,object,vegetable,measure,animal,mean
wine,0.10225927703267243,0.0,0.0,0.0,0.0,0.10513261653126506,0.0,0.12286236738480405,0.0,0.0,0.0,0.0,0.0,0.0,0.023589590067767254
cider,0.013867984219008821,0.0,0.0,0.0,0.0,0.014031501222312006,0.0,0.015475774882011243,0.0,0.0,0.0,0.0,0.0,0.0,0.0030982328802380047
taro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,0.09081908213840764,0.0,0.08004104088617763,0.09863642791025617,0.132688271305487,0.09371151535646961,0.0,0.0,0.0,0.0,0.09388390116587554,0.0,0.0,0.0,0.04212715991161954
tomato,0.009116256702282263,0.0,0.008235355864473356,0.0,0.0,0.009194315713447579,0.0,0.0,0.0,0.0,0.009091992478634353,0.00895590479326047,0.0,0.0,0.0031852732537212872
vegetable,0.003945076637677776,0.0,0.003505880385346143,0.0,0.0,0.004097911440070369,0.0,0.0,0.0,0.0,0.004110052670050172,0.0036091375574478887,0.0,0.0,0.001376289906470882
condiment,0.00890947785282491,0.0,0.0,0.0,0.0,0.009041417617988197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012822068193437933
tangerine,0.0707558000108303,0.0,0.06084590692226757,0.07468038212951296,0.0,0.0786912316282709,0.0,0.0,0.0,0.0,0.0728684262311766,0.0,0.0,0.0,0.025560124780147023
onion,0.001648426358819363,0.0,0.001467462220235738,0.0,0.0,0.0016594979896536121,0.0,0.0,0.0,0.0,0.0016281718553556835,0.0015997813384595284,0.0,0.0,0.000571667125894566
puree,0.005665524383140518,0.0,0.0,0.0,0.0,0.005601915603868894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008048171419292437
raspberry,0.03424700881965877,0.03660671733973666,0.03022234703125448,0.03521027622272388,0.0,0.03490435027266221,0.0,0.0,0.0,0.0,0.034221086968432096,0.0,0.0,0.0,0.01467227047531915
cake,0.0004529598408284232,0.0,0.0,0.0,0.0,0.0004658181706093024,0.0,0.0,0.0,0.0,0.0004701175939810499,0.0,0.0,0.0,9.920682895848397e-05
peach,0.022624143596031026,0.0,0.019474648206077427,0.02527424544322402,0.03307796611572288,0.023361596068598216,0.0,0.0,0.0,0.0,0.02320632175637182,0.0,0.0,0.0,0.01050135151328753
grapefruit,0.013637569242179709,0.0,0.011967645953288438,0.013291745799499937,0.0,0.013713397413735987,0.0,0.0,0.0,0.0,0.013474022662799368,0.0,0.0,0.0,0.004720312933678817
sugar,0.003102114964880006,0.0,0.0,0.0,0.0,0.0032106028379792796,0.0,0.003598254070076726,0.0,0.0,0.0,0.0,0.0033663498250719845,0.0,0.0009483801212862855
corn,0.001244382617087009,0.0,0.0011318593581786534,0.0014655668183389426,0.0,0.0012916924705771125,0.0,0.0014373672665739697,0.0,0.0,0.0013127890201470487,0.0,0.0,0.0,0.0005631183964930525
apricot,0.01931167580494329,0.0,0.01709953519348148,0.021036976051480374,0.0,0.019888787770260527,0.0,0.0,0.0,0.0,0.019674163710497877,0.0,0.0,0.0,0.006929367037904539
