context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
named,22,0.03,0.01,0.01,0.09
louise,22,0.02,0.02,0.0,0.09
barbara,22,0.02,0.01,0.01,0.05
stella,22,0.02,0.01,0.0,0.07
brings,22,0.01,0.01,0.0,0.02
call,22,0.02,0.02,0.0,0.11
maya,22,0.01,0.01,0.0,0.04
dead,22,0.02,0.02,0.01,0.11
elizabeth,22,0.05,0.04,0.01,0.15
ana,22,0.01,0.01,0.0,0.02
ellen,22,0.02,0.02,0.0,0.06
having,22,0.01,0.01,0.01,0.04
husband,22,0.04,0.03,0.01,0.12
wedding,22,0.01,0.01,0.0,0.04
watching,22,0.01,0.01,0.0,0.02
romantic,22,0.01,0.01,0.0,0.08
seeing,22,0.01,0.01,0.0,0.03
says,22,0.01,0.01,0.0,0.04
trouble,22,0.02,0.01,0.0,0.23
suzanne,22,0.01,0.01,0.0,0.04
would,22,0.02,0.01,0.01,0.03
diana,22,0.02,0.02,0.0,0.08
movie,22,0.02,0.01,0.0,0.07
same,22,0.01,0.01,0.01,0.02
charlotte,22,0.02,0.02,0.0,0.07
letter,22,0.01,0.01,0.0,0.06
this,22,0.02,0.01,0.01,0.04
london,22,0.01,0.01,0.01,0.04
week,22,0.01,0.0,0.0,0.02
pretty,22,0.03,0.02,0.0,0.22
end,22,0.01,0.01,0.0,0.03
encounters,22,0.01,0.01,0.0,0.04
too,22,0.01,0.0,0.0,0.02
hanging,22,0.01,0.0,0.0,0.02
three,22,0.02,0.01,0.01,0.04
revenge,22,0.01,0.01,0.0,0.03
dropped,22,0.01,0.0,0.0,0.03
featured,22,0.01,0.01,0.0,0.02
niece,22,0.02,0.01,0.0,0.05
how,22,0.01,0.01,0.0,0.03
helps,22,0.01,0.01,0.0,0.02
haunted,22,0.01,0.01,0.0,0.01
instead,22,0.01,0.01,0.0,0.02
send,22,0.01,0.01,0.0,0.03
loved,22,0.02,0.02,0.0,0.11
hearted,22,0.01,0.01,0.0,0.04
went,22,0.01,0.0,0.0,0.03
look,22,0.01,0.01,0.0,0.08
disappeared,22,0.01,0.01,0.0,0.02
12,22,0.01,0.01,0.01,0.05
willing,22,0.01,0.01,0.0,0.03
devil,22,0.01,0.01,0.0,0.08
keeps,22,0.01,0.0,0.0,0.02
