,animal,tool,no-cat,measure,relation,object,weapon,communication,vehicle,food,all,cutlery,mean
table,0.0,0.0,0.0,0.0,0.0,0.005770381787247378,0.0,0.0,0.0,0.005574309237583406,0.005770381787247378,0.0,0.0014262560676731803
transom,0.0,0.0,0.0,0.0,0.0,0.00401691804142022,0.0,0.0,0.0,0.0,0.00401691804142022,0.0,0.0006694863402367033
lumber,0.0,0.0,0.0,0.0,0.0,0.005329498521456192,0.0,0.0,0.0,0.0,0.005329498521456192,0.0,0.000888249753576032
chair,0.0,0.0,0.0,0.0,0.0,0.013031690524115196,0.0,0.0,0.0,0.0,0.013031690524115196,0.0,0.002171948420685866
truss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
houseboat,0.0,0.0,0.0,0.0,0.0,0.015751014728774167,0.0,0.0,0.013410317560208522,0.0,0.015751014728774167,0.0,0.0037426955848130715
trave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deck,0.0,0.0,0.0,0.0,0.0,0.006412151104060555,0.0,0.0,0.0,0.0,0.006412151104060555,0.0,0.0010686918506767592
roof,0.0,0.0,0.0,0.0,0.0,0.005205148610499968,0.0,0.0,0.0,0.0,0.005205148610499968,0.0,0.0008675247684166613
dowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fingerboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clock,0.0,0.0,0.0,0.0,0.0,0.0017065022834003532,0.0,0.0,0.0,0.0,0.0017065022834003532,0.0,0.0002844170472333922
ferrule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
board,0.0,0.0,0.0,0.0,0.0,0.02499721125264377,0.0,0.0,0.0,0.027598483979662327,0.02499721125264377,0.0,0.006466075540412488
shaft,0.0,0.0,0.0,0.0,0.0,0.0008678815733470586,0.0008640915807427215,0.0008217185332461869,0.0,0.0,0.0008678815733470586,0.0,0.00028513110505691883
handrail,0.0,0.0,0.0,0.0,0.0,0.010302812870730618,0.0,0.0,0.0,0.0,0.010302812870730618,0.0,0.0017171354784551029
gunwale,0.0,0.0,0.0,0.0,0.0,0.04869769884277671,0.0,0.0,0.0,0.0,0.04869769884277671,0.0,0.008116283140462784
puppet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grommet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hutch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fipple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headstock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paddle,0.0,0.0,0.0,0.0,0.0,0.023080358660743535,0.0,0.0,0.0,0.0,0.023080358660743535,0.0,0.0038467264434572557
bookcase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladder,0.0,0.0,0.0,0.0,0.0,0.0007843589858173253,0.0,0.0,0.0,0.0,0.0007843589858173253,0.0,0.0001307264976362209
violin,0.0,0.0,0.0,0.0,0.0,0.0002431246450025417,0.0,0.0,0.0,0.0,0.0002431246450025417,0.0,4.052077416709028e-05
girder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rudder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mandrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flatcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kayak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrow,0.0,0.0,0.0,0.0,0.0,0.0013036461340169142,0.0013435996359238364,0.0011564284942657851,0.0,0.0,0.0013036461340169142,0.0,0.00042561003318528746
ladle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
centerboard,0.0,0.0,0.0,0.0,0.0,0.016838294784620136,0.0,0.0,0.0,0.0,0.016838294784620136,0.0,0.002806382464103356
bow,0.0,0.0,0.0,0.0,0.0,0.0021477061212896815,0.002054896191763612,0.0019574466545287496,0.0,0.0,0.0021477061212896815,0.0,0.0006923129240726436
centreboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lath,0.0,0.0,0.0,0.0,0.0,0.008472015478537794,0.0,0.0,0.0,0.0,0.008472015478537794,0.0,0.001412002579756299
hardboard,0.0,0.0,0.0,0.0,0.0,0.03006917513792648,0.0,0.0,0.0,0.0,0.03006917513792648,0.0,0.0050115291896544135
boat,0.0,0.0,0.0,0.0,0.0,0.006806449283922255,0.0,0.0,0.007358167407924122,0.0,0.006806449283922255,0.0,0.0017475888313140525
