,no-cat,hot,all,communication,relation,object,food,plant,measure,mean
furnace,0.0,0.0,0.0004732086452316228,0.0,0.0,0.0004450213836612435,0.0,0.0,0.0,0.00010202555876587404
steam,0.0,0.0,0.0006601294516339109,0.0,0.0008310140384769432,0.0,0.0,0.0,0.0,0.00016568261001231714
bulb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drink,0.0,0.0,0.004313954131249975,0.0,0.005377261216653048,0.0,0.0047196118395515085,0.0,0.003799501591798248,0.00202336986436142
mug,0.0,0.0,0.0060047047470535835,0.0,0.0,0.005684503731634803,0.0,0.0,0.005956151912794682,0.001960595599053674
meat,0.0,0.0,0.020846765110243633,0.0,0.0,0.019477922462578495,0.024534738319863456,0.0,0.0,0.007206602876965066
sauna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bathroom,0.0,0.0,0.003809528155802649,0.0,0.0,0.0037103832780011475,0.0,0.0,0.0,0.0008355457148670885
bottle,0.0,0.0,0.0013611869536903896,0.0,0.0,0.0012273994754830964,0.0,0.0,0.00126907807954488,0.00042862938985759627
burner,0.0,0.0,0.004396074526547723,0.0,0.0,0.004239483205837836,0.0,0.0,0.0,0.0009595064147095065
boiler,0.0,0.0,0.00108290821414659,0.0,0.0,0.0010439530863136843,0.0,0.0,0.0,0.00023631792227336385
can,0.0,0.0,0.0034432758883016583,0.003143417445435487,0.0,0.003210722648022057,0.0,0.0,0.003132655427862522,0.0014366746010690803
sauce,0.0,0.0,0.004670516236696589,0.0,0.0,0.0,0.006635349288670426,0.0,0.0,0.001256207280596335
butter,0.0,0.0,0.003053807408362206,0.0,0.0,0.0027993164456572074,0.004132988339850195,0.0,0.0,0.0011095680215410676
fireplace,0.0,0.0,0.006187636955820247,0.0,0.0,0.005998227354219826,0.0,0.0,0.0,0.0013539849233377861
puree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heater,0.0,0.0,0.0026557172206519743,0.0,0.0,0.0024043114093165387,0.0,0.0,0.0,0.0005622254033298348
tortilla,0.0,0.0,0.008155676153753925,0.0,0.0,0.0,0.009580243071971075,0.0,0.0,0.0019706576917472222
kerosene,0.0,0.0,0.003494879701953407,0.0,0.004341636964060159,0.0,0.0,0.0,0.0,0.0008707240740015073
fondue,0.0,0.0,0.024313434883479847,0.0,0.0,0.0,0.026426325702416317,0.0,0.0,0.005637751176210685
cake,0.0,0.0,0.003278569723533157,0.0,0.0,0.002948704333485246,0.003601808934945278,0.0,0.0,0.001092120332440409
toaster,0.0,0.0,0.018709117805556848,0.0,0.0,0.015531316185139069,0.0,0.0,0.0,0.0038044926656328796
kiln,0.0,0.0,0.0011479038208246591,0.0,0.0,0.0009840599211709022,0.0,0.0,0.0,0.000236884860221729
custard,0.0,0.0,0.006651037521485864,0.0,0.0,0.0,0.0078329856006905,0.0,0.0,0.0016093359024640405
jug,0.0,0.0,0.002427987604535547,0.0,0.0,0.0021982505196082233,0.0,0.0,0.0023766667484108753,0.0007781005413949606
chimney,0.0,0.0,0.0023248356142333048,0.0,0.0,0.0022630941075437025,0.0,0.0,0.0,0.0005097699690863342
popcorn,0.0,0.0,0.007353144015220423,0.0,0.0,0.006547206378912179,0.00813301748807357,0.0066143929738645205,0.0,0.0031830845395634105
lava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
griddle,0.0,0.0,0.02985034191696147,0.0,0.0,0.026047983694810962,0.0,0.0,0.0,0.006210925067974715
