,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
marang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maraschino,0.0034660278961695778,0.0,0.0,0.0,0.0,0.0,0.0034292808817774152,0.0,0.003326293696228507,0.0,0.0,0.0,0.0,0.0,0.000730114462441107
clementine,0.015095823403833216,0.0,0.0,0.013518411207244563,0.020197961006752294,0.0,0.01696080371534068,0.0,0.0,0.0,0.01649289981092023,0.0,0.0,0.0,0.005876135653149356
asparagus,0.05318655835247424,0.0,0.0,0.05279158582357955,0.0,0.0,0.05370993569296077,0.0,0.0,0.0,0.055767648748754214,0.053903180071266786,0.0,0.0,0.019239922049216825
meat,0.03729076223206539,0.0,0.0,0.0,0.0,0.0,0.03831408982835694,0.0,0.0,0.0,0.03906645279429612,0.0,0.0,0.0,0.008190807489622748
grape,0.009330223072934154,0.0,0.0,0.00931049639266199,0.01114852733186953,0.012016767696323125,0.009746649154584506,0.0,0.0,0.0,0.009887229899278396,0.0,0.0,0.0,0.004388563824832265
tomato,0.04506742456274709,0.0,0.0,0.0476184521150964,0.0,0.0,0.046133808038176086,0.0,0.0,0.0,0.047560318104767886,0.04682430761727804,0.0,0.0,0.01665745074557611
vegetable,0.03829781339734285,0.0,0.0,0.03788553679004599,0.0,0.0,0.03987709927083546,0.0,0.0,0.0,0.041211645305034066,0.03577390314925956,0.0,0.0,0.013788999850894138
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mulberry,0.016728055855795138,0.0,0.0,0.01405326716750517,0.020320226776607452,0.0,0.01816086273683408,0.0,0.0,0.0,0.018617859214669345,0.0,0.0,0.0,0.0062771622679579425
tangerine,0.017068666806551374,0.0,0.0,0.016760123346470496,0.02032872506076957,0.0,0.019011668917534703,0.0,0.0,0.0,0.01825908889345307,0.0,0.0,0.0,0.006530590930341372
onion,0.010081338069190067,0.0,0.0,0.010434107890964339,0.0,0.0,0.009977763062437216,0.0,0.0,0.0,0.010191361174593534,0.010523036390436703,0.0,0.0,0.0036576861848301332
papaya,0.021353275972201692,0.0,0.0,0.022895326380422413,0.024978612988905042,0.0,0.022464220956873282,0.0,0.0,0.0,0.023186929984763797,0.0,0.0,0.0,0.00820559759165473
raspberry,0.02365292206635541,0.0,0.029141069674366298,0.024257686116795976,0.027198373085531434,0.0,0.024626170061240404,0.0,0.0,0.0,0.025197764292052845,0.0,0.0,0.0,0.011005284664024454
