,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
raspberry,0.023288242960892113,0.0,0.023677119110422615,0.02182328191277498,0.02641538772727284,0.0,0.024155434470221785,0.0,0.0,0.0,0.024123245694675794,0.0,0.0,0.0,0.010248765134018581
peach,0.031128443050363625,0.0,0.0,0.0278024482475991,0.03826769241555195,0.03361154100920487,0.032806571528486754,0.0,0.0,0.0,0.032673081336566184,0.0,0.0,0.0,0.014020698399126605
grapefruit,0.03994563407964267,0.0,0.0,0.036825744754555044,0.0413105290715558,0.0,0.04034614917210981,0.0,0.0,0.0,0.039783904310827824,0.0,0.0,0.0,0.014157997242049369
honeydew,0.0162048612466591,0.0,0.0,0.0,0.01691361726843595,0.0,0.016208216229099598,0.0,0.0,0.0,0.01618281453342388,0.0,0.0,0.0,0.004679250662687038
corn,0.0008230550689316798,0.0,0.0,0.0007844822875162273,0.0011089598835085572,0.0,0.0008612877749485887,0.0,0.0014075321684035584,0.0,0.0008747572202027157,0.0,0.0,0.0,0.0004185767431079519
lime,0.011361191586823296,0.0,0.0,0.011022967672253386,0.01154981223510936,0.0,0.01140966680683122,0.0,0.01448877998334972,0.0,0.011217710302004457,0.0,0.0,0.0,0.005075009184740817
apricot,0.05376488246379267,0.0,0.0,0.04956076069455375,0.061745158349432165,0.0,0.055686793665666624,0.0,0.0,0.0,0.05499319685829981,0.0,0.0,0.0,0.019696485145124645
bean,0.0025862203853640577,0.0,0.0,0.0023379457568717308,0.0030277196418771624,0.0,0.002652458971243324,0.0,0.0,0.0,0.0026724044308884093,0.00215971103115278,0.0,0.0,0.001102604301242676
squash,0.0028095284779780555,0.0,0.0,0.0024252777884542355,0.0,0.0,0.002882258357719502,0.0,0.0,0.0,0.002867591599189979,0.002694003955740176,0.0,0.0,0.0009770471556487105
candy,0.0003955538768314672,0.0,0.0,0.0,0.0,0.0,0.00041369087836468527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.780319679972517e-05
sultana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pawpaw,0.13022579304715082,0.0,0.0,0.12247916495175384,0.1672259454822283,0.0,0.13836380223291248,0.0,0.0,0.0,0.13593101666451118,0.0,0.0,0.0,0.04958755159846833
cream,0.0037503610483169423,0.0,0.0,0.0,0.0,0.0,0.0037750925232877,0.0,0.0,0.0,0.003674279071647051,0.0,0.0,0.0,0.0007999809030894066
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0014136064559818694,0.0,0.0,0.001381860522239585,0.0,0.0,0.0014360065003100526,0.0,0.0,0.0,0.0014213867121225302,0.0015989004659228516,0.0017291341069181375,0.0,0.0006414924831067877
mustard,0.003087631885962763,0.0,0.0,0.0028753684324065885,0.0,0.0,0.0031108718307014424,0.0,0.0,0.0,0.002986281925699998,0.0033382649898161722,0.0,0.0,0.001099887076041926
oregano,0.0018360611199934554,0.0,0.0,0.0018298520957064131,0.0,0.0,0.0018431827881101631,0.0,0.0,0.0,0.0018331360163701125,0.0,0.0,0.0,0.0005244451442985818
chile,0.00020901599127981626,0.0,0.0,0.0,0.0,0.0,0.00021620736582769528,0.0,0.0,0.0,0.0,0.00022932730460386295,0.0,0.0,4.675361869366961e-05
donut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0036116851303482295,0.0,0.0,0.003663965358861197,0.0,0.0,0.0036430084955257325,0.0,0.0,0.0,0.003657808415149826,0.004512867537577707,0.0,0.0,0.0013635239241044778
blackheart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.00316075889683529,0.0,0.0,0.0,0.0,0.0,0.0032035717308132763,0.0,0.004273392055862281,0.0,0.0,0.0,0.0,0.0,0.0007598373345364891
fennel,0.0010939183588710598,0.0,0.0,0.0011242157029916038,0.0,0.0,0.00111162474926199,0.0,0.0,0.0,0.001126072414301154,0.0013411770379198077,0.0,0.0,0.00041407201881040113
emperor,7.635607858570419e-05,0.0,0.0,0.0,8.121092715016554e-05,0.0,7.744148236405172e-05,0.0,0.0,0.0,8.052457388060778e-05,0.0,0.0,0.00012810302149424688,3.1688291676769724e-05
cheese,0.003585238921776433,0.0,0.0,0.0034097153421243994,0.0,0.0,0.0036181051733193076,0.0,0.0,0.0,0.0035168850325806543,0.0,0.0,0.0,0.0010092817478429138
cilantro,0.006549911482524318,0.0,0.0,0.006379519011763545,0.0,0.0,0.006582240589473005,0.0,0.0,0.0,0.006498461228011147,0.0,0.0,0.0,0.0018578665936980013
jack,6.599934955325033e-05,0.0,0.0,0.0,7.061164826865721e-05,8.35636324648061e-05,6.824613552844568e-05,0.0,0.00011419484120913947,0.0,6.604056700315099e-05,0.0,0.00012957455770269653,7.778931140498532e-05,4.828714593822369e-05
chickpea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0017060919094789653,0.0,0.0,0.001699545821100761,0.0,0.0,0.0017178977852095466,0.0,0.0,0.0,0.0017070271969036469,0.0,0.0,0.0,0.0004878973366209228
rice,0.0002775038248767599,0.0,0.0,0.00028115222869045596,0.0,0.0,0.0002804054667337745,0.0,0.0,0.0,0.0002928850694589748,0.0,0.0,0.0,8.085332783999752e-05
