,animal,relation,vehicle,bird,object,reptile,food,fish,mammal,all,plant,measure,communication,no-cat,mean,median
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meadowlark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.0006037818370220526,0.0,0.0,0.0008665551475007668,0.0006037818370220526,0.0,0.0006577817052645566,0.0,0.0,0.0006037818370220526,0.0,0.0,0.0,0.0,0.00023826302598796293,0.0
lark,0.013018340522189016,0.0,0.0,0.017433562222257,0.013018340522189016,0.0,0.0,0.0,0.0,0.013018340522189016,0.0,0.0,0.0,0.0,0.0040348988420588604,0.0
stock,8.706515764955977e-05,8.179205161265395e-05,0.0,0.0,8.706515764955977e-05,0.0,8.264822998063908e-05,0.0,9.450109627827056e-05,8.706515764955977e-05,0.00012786985834686306,0.0,0.000132769134795859,0.0,5.576970314021178e-05,8.179205161265395e-05
eagle,0.00017544336356499807,0.0,0.0,0.00027933696465760226,0.00017544336356499807,0.0,0.0,0.0,0.0,0.00017544336356499807,0.0,0.000293223456217183,0.0,0.0,7.84921793978414e-05,0.0
beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0002447062295146039,0.0,0.0,0.00042189622865790603,0.0002447062295146039,0.0,0.0,0.0,0.0,0.0002447062295146039,0.0,0.0,0.0,0.0,8.257249408583698e-05,0.0
skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockatoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
springbok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bunting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.00012649702201775182,0.0,0.0,0.00022272319860714202,0.00012649702201775182,0.0,0.0,0.0,0.0,0.00012649702201775182,0.0,0.0,0.0,0.0,4.3015304618599815e-05,0.0
lion,0.002120303397049858,0.0,0.0,0.0,0.002120303397049858,0.0,0.0,0.0,0.0022387361189089325,0.002120303397049858,0.0,0.0,0.0,0.0,0.0006142604507184647,0.0
thresher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roach,0.001969213625748525,0.0,0.0,0.0,0.001969213625748525,0.0,0.0,0.002122061850376453,0.0,0.001969213625748525,0.0,0.0,0.0,0.0,0.0005735501948301449,0.0
colobus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
