,animal,fruit,vegetable,plant,tool,mammal,no-cat,measure,relation,object,bird,communication,food,all,mean
grain,0.0,0.0015525111378875244,0.0,0.0014709180862375276,0.0,0.0,0.0,0.0022242004930402306,0.0019467925502527736,0.001520146637953401,0.0,0.0,0.0015069020786349246,0.0015121300340133295,0.0008381143584299793
lentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hip,0.0,4.625727628691434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.819061907477199e-05,0.0,0.0,0.0,4.9792347585491206e-05,1.0302874496226966e-05
pistachio,0.0,0.009459538669360976,0.0,0.009244460545939318,0.0,0.0,0.0,0.0,0.0,0.010826177934665091,0.0,0.0,0.0,0.010900977171412203,0.0028879395943841135
pod,0.0,0.003207820619436774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031597654161918238,0.0,0.0,0.0,0.0031579849267950847,0.0006803979258874059
avocado,0.0,0.029197448924073055,0.0,0.029013055712232685,0.0,0.0,0.0,0.0,0.0,0.03246721868371276,0.0,0.0,0.03203046234402119,0.03229097333659205,0.011071368500045125
freestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rye,0.0,0.0011184210128769808,0.0,0.0011136313711082647,0.0,0.0,0.0,0.0,0.0014010714246764978,0.00114618033704193,0.0,0.0,0.0011706239775945387,0.0011798360080644075,0.0005092688665259014
legume,0.0,0.0003187872352404161,0.00035634961310130264,0.0003074104688038328,0.0,0.0,0.0,0.0,0.0,0.0003063055458301992,0.0,0.0,0.0002841198785977438,0.00029942406291223153,0.00013374262889183757
cottonseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike,0.0,0.0010226120088837139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009948098904650222,0.0,0.0,0.0,0.0010026074068063158,0.00021571637901107518
coffee,0.0,0.0019868895773070515,0.0,0.0019771305744017186,0.0,0.0,0.0,0.0,0.0025281704289920235,0.001984666212789361,0.0,0.0,0.002047449784696073,0.0020912624893971747,0.0009011120762559572
linseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soy,0.0,0.0004675648277484302,0.0005812916427015554,0.0004955580230048563,0.0,0.0,0.0,0.0,0.0,0.0004892780461694686,0.0,0.0,0.0005283035201381635,0.000527924395886666,0.0002207086039749386
lime,0.0,0.005225440808696029,0.0,0.0051519894695764385,0.0,0.0,0.0,0.0,0.0074387405060466405,0.005241541771217765,0.0,0.0,0.005393023215508285,0.005406355654946195,0.0024183636732850967
bean,0.0,0.002751139451837369,0.0031378473539010305,0.002884845209968155,0.0,0.0,0.0,0.0,0.0,0.002875658651667112,0.0,0.0,0.0029393638928475936,0.002995143099703365,0.001255999832851759
amaranth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetroot,0.0,0.0,0.03035944802257965,0.028474488910181662,0.0,0.0,0.0,0.0,0.0,0.02691038553390687,0.0,0.0,0.028766082761966013,0.02680543334898109,0.010093988469829663
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumpkin,0.0,0.0,0.01497939459350929,0.014752100105305468,0.0,0.0,0.0,0.0,0.0,0.015301594627581629,0.0,0.0,0.015756253781374942,0.015128879773851297,0.005422730205830188
