,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,female,measure,vehicle,mean
flatcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cruiser,0.0,0.0,0.0,0.0,0.00027957897655518416,0.0,0.0,0.0,0.0002795601329375166,0.0,0.0,0.0,0.000346271280356513,6.964695306532415e-05
engine,0.0,0.0,0.0,0.0,0.0004930790074961097,0.0,0.0,0.0,0.0004930899188635982,0.0,0.0,0.0,0.0006697318874246306,0.00012737698567571835
velocipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pickup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carriage,0.0,0.0,0.0,0.0,0.001312179969373229,0.0,0.0,0.0,0.0013121518014199978,0.0,0.0,0.0,0.0015373806295976697,0.000320131723106992
parachute,0.0,0.0,0.0,0.0,0.0005500862837303247,0.0,0.0,0.0,0.000549823793986266,0.0,0.0,0.0,0.0,8.460846751666083e-05
saloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cart,0.0,0.0,0.0,0.0,0.0013577193791143593,0.0,0.0,0.0,0.0013577232634807744,0.0,0.0,0.0,0.0016945062592861055,0.0003392268386062492
lorry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forklift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
