,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
carrot,0.007243845355823958,0.006391686042749611,0.0,0.0,0.007000806081701635,0.0,0.0,0.0069546364141304575,0.0,0.0,0.006771616361452732,0.0,0.0,0.0,0.0,0.0022908393503905597
cereal,0.0013347296311089123,0.00116886547995484,0.0,0.0,0.0013273941779379616,0.0,0.0,0.0,0.0,0.0,0.0012825741368017393,0.0,0.0,0.0,0.0,0.00034090422838689685
milk,0.002502075375920144,0.0,0.0,0.0,0.002346347376110001,0.0,0.0024906027741519346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004892683684121386
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coffee,0.004575748545296247,0.003934166552135166,0.0,0.0,0.004547730861239732,0.0,0.005038723130100842,0.0,0.0,0.0,0.0044437686978564235,0.004393435205306551,0.0,0.0,0.0,0.001795571532795664
vanilla,0.0028291990048227543,0.0024672662066065436,0.0,0.0,0.0024899571577529102,0.0,0.0,0.0,0.0,0.0,0.0024098386080897913,0.0,0.0,0.0,0.0,0.0006797507318181333
grapefruit,0.004050697452896508,0.0035095863481690724,0.0,0.0,0.0035687134101113275,0.0,0.0,0.0,0.0,0.0,0.0034853458639160636,0.0038540700695907384,0.0,0.0,0.0,0.0012312275429789139
custard,0.0024023862764163528,0.0,0.0,0.0,0.002162184787574989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030430473759942276
dog,0.0031162702907752884,0.0,0.003982694156068546,0.0,0.0034535778303998034,0.005646088624729043,0.0,0.0,0.0,0.0,0.003424778099243363,0.0,0.0,0.004802123592443504,0.0,0.0016283688395773036
bulgur,0.005726610403980512,0.0,0.0,0.0,0.005142578997104414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007246126267389951
wheat,0.0009807973276801402,0.0008738027620976256,0.0,0.0,0.0009424174207563813,0.0,0.0,0.0,0.0,0.0,0.0009219809896708213,0.0,0.0,0.0,0.0,0.0002479332333469979
potato,0.000757889140457363,0.000659324752811393,0.0,0.0,0.0007249002648883594,0.0,0.0,0.0007608559598933686,0.0,0.0,0.0007055662476578912,0.0,0.0,0.0,0.0,0.000240569091047225
lime,0.00516695855823774,0.00441964629663718,0.0,0.0,0.004285383290708171,0.0,0.004263760693614777,0.0,0.0,0.0,0.0041768521556890086,0.004740870203254101,0.0,0.0,0.0,0.0018035647465427318
fenugreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peony,0.0,0.005311930568027793,0.0,0.0,0.0062583529608690866,0.0,0.0,0.0,0.0,0.0,0.0062347729507960005,0.0,0.0,0.0,0.0,0.0011870037653128585
vine,0.0,0.0053548532964592735,0.0,0.0,0.005601309654010413,0.0,0.0,0.0,0.0,0.0,0.0054797096518433884,0.0,0.0,0.0,0.0,0.001095724840154205
flower,0.0,0.021849859352502173,0.0,0.0,0.023087227250871978,0.0,0.0,0.0,0.0,0.0,0.023152649956805525,0.0,0.02644057740037176,0.0,0.0,0.006302020930703429
carnation,0.0,0.017694713477247784,0.0,0.0,0.020931159647910258,0.0,0.0,0.0,0.0,0.0,0.020655327057462168,0.0,0.0,0.0,0.0,0.003952080012174681
pansy,0.0,0.005557566478022762,0.0,0.0,0.0062329644754383655,0.0,0.0,0.0,0.0,0.0,0.006368372637235224,0.0,0.0,0.0,0.0,0.00121059357271309
dogwood,0.0,0.008311553614368848,0.0,0.0,0.012813083134250306,0.0,0.009955406727345215,0.0,0.0,0.0,0.008277011486897587,0.0,0.0,0.0,0.0,0.0026238036641907975
fern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geranium,0.0,0.0294363101164811,0.0,0.0,0.02864319645884648,0.0,0.0,0.0,0.0,0.0,0.02887182942754709,0.0,0.0,0.0,0.0,0.0057967557335249775
weed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut,0.0,0.0007962226031051511,0.0,0.0,0.0008025848777667562,0.0,0.0,0.0,0.0,0.0,0.0007672300482425622,0.0008874735605231821,0.0,0.0,0.0,0.00021690073930917674
chive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,0.0,0.015904155569136373,0.0,0.0,0.017052213117021073,0.0,0.0,0.0,0.0,0.0,0.01627525729894911,0.01751189702526121,0.0,0.0,0.0,0.004449568200691184
