context,evidence_type,categories
designer, ,no-cat
delivery, ,no-cat
stall, ,no-cat
chef, ,no-cat
celebrations, ,no-cat
customs, ,no-cat
store, ,no-cat
exclusively, ,no-cat
sick, ,no-cat
signs, ,no-cat
entrance, ,no-cat
eric, ,no-cat
swiss, ,no-cat
establishment, ,no-cat
experiments, ,no-cat
experienced, ,no-cat
enabled, ,no-cat
tea, ,no-cat
room, ,no-cat
estate, ,no-cat
house, ,no-cat
co, ,no-cat
company, ,no-cat
coca, ,no-cat
herb, ,no-cat
oil, ,no-cat
growing, ,no-cat
water, ,no-cat
production, ,no-cat
honey, ,no-cat
express, ,no-cat
guests, ,no-cat
enjoy, ,no-cat
companies, ,no-cat
ice, ,no-cat
industry, ,no-cat
agency, ,no-cat
family, ,no-cat
largest, ,no-cat
pacific, ,no-cat
owned, ,no-cat
produces, ,no-cat
trading, ,no-cat
act, ,no-cat
caf, ,no-cat
people, ,no-cat
gathering, ,no-cat
warehouse, ,no-cat
product, ,no-cat
making, ,no-cat
non, ,no-cat
australia, ,no-cat
host, ,no-cat
american, ,no-cat
road, ,no-cat
serves, ,no-cat
children, ,no-cat
founded, ,no-cat
valley, ,no-cat
district, ,no-cat
2010, ,no-cat
uk, ,no-cat
ltd, ,no-cat
dealer, ,no-cat
local, ,no-cat
producer, ,no-cat
five, ,no-cat
2009, ,no-cat
start, ,no-cat
amp, ,no-cat
candy, ,no-cat
main, ,no-cat
million, ,no-cat
regions, ,no-cat
hosts, ,no-cat
until, ,no-cat
marketing, ,no-cat
talk, ,no-cat
zealand, ,no-cat
friends, ,no-cat
began, ,no-cat
global, ,no-cat
street, ,no-cat
amount, ,no-cat
worldwide, ,no-cat
san, ,no-cat
cultural, ,no-cat
years, ,no-cat
thai, ,no-cat
days, ,no-cat
campaign, ,no-cat
album, ,no-cat
night, ,no-cat
promote, ,no-cat
le, ,no-cat
followed, ,no-cat
promoted, ,no-cat
hour, ,no-cat
clay, ,no-cat
office, ,no-cat
association, ,no-cat
asian, ,no-cat
entertainment, ,no-cat
smoke, ,no-cat
share, ,no-cat
passed, ,no-cat
currently, ,no-cat
capital, ,no-cat
inn, ,no-cat
conversation, ,no-cat
pub, ,no-cat
grounds, ,no-cat
minute, ,no-cat
joe, ,no-cat
90, ,no-cat
sales, ,no-cat
malaysia, ,no-cat
shortly, ,no-cat
