context,evidence_type,categories
1875,NA,no-cat
opens,u,no-cat
opera,u,no-cat
narrator,NA,no-cat
2000s,NA,no-cat
1933,NA,no-cat
nice,u,no-cat
1925,NA,no-cat
participants,u,no-cat
1921,NA,no-cat
naturally,NA,no-cat
1954,NA,no-cat
remarked,NA,no-cat
ranging,NA,no-cat
read,u,no-cat
ray,NA,no-cat
labour,NA,no-cat
andrew,NA,no-cat
interest,NA,no-cat
interview,u,no-cat
arch,NA,no-cat
recording,NA,no-cat
invites,NA,no-cat
african,u,no-cat
whom,NA,no-cat
legal,NA,no-cat
web,u,no-cat
likely,u,no-cat
proceeds,NA,no-cat
weak,NA,no-cat
producing,u,no-cat
clerk,NA,no-cat
cow,NA,no-cat
taylor,u,no-cat
clock,u,no-cat
couch,u,no-cat
society,NA,no-cat
creating,u,no-cat
clarke,NA,no-cat
sound,NA,no-cat
coastal,NA,no-cat
eats,NA,no-cat
convention,u,no-cat
changing,u,no-cat
designer,u,no-cat
delivery,NA,no-cat
stall,NA,no-cat
chef,u,no-cat
celebrations,NA,no-cat
customs,NA,no-cat
store,u,no-cat
exclusively,NA,no-cat
sick,NA,no-cat
signs,u,no-cat
entrance,u,no-cat
eric,NA,no-cat
swiss,NA,no-cat
establishment,NA,no-cat
experiments,NA,no-cat
experienced,NA,no-cat
enabled,NA,no-cat
tea,i,no-cat
room,u,no-cat
estate,NA,no-cat
house,u,no-cat
co,u,no-cat
company,u,no-cat
coca,u,no-cat
herb,NA,no-cat
oil,u,no-cat
growing,u,no-cat
water,i,no-cat
production,NA,no-cat
honey,NA,no-cat
express,u,no-cat
guests,u,no-cat
enjoy,u,no-cat
companies,u,no-cat
ice,r,no-cat
industry,NA,no-cat
agency,NA,no-cat
family,NA,no-cat
largest,u,no-cat
pacific,u,no-cat
owned,u,no-cat
produces,u,no-cat
trading,u,no-cat
act,NA,no-cat
caf,NA,no-cat
people,NA,no-cat
gathering,u,no-cat
warehouse,NA,no-cat
product,u,no-cat
making,u,no-cat
non,u,no-cat
australia,NA,no-cat
host,u,no-cat
american,u,no-cat
road,u,no-cat
serves,u,no-cat
children,u,no-cat
founded,NA,no-cat
valley,u,no-cat
district,u,no-cat
2010,NA,no-cat
uk,NA,no-cat
ltd,u,no-cat
dealer,NA,no-cat
local,u,no-cat
producer,u,no-cat
five,u,no-cat
2009,u,no-cat
start,u,no-cat
amp,u,no-cat
candy,u,no-cat
main,u,no-cat
million,u,no-cat
regions,u,no-cat
hosts,NA,no-cat
until,u,no-cat
marketing,NA,no-cat
talk,u,no-cat
zealand,NA,no-cat
friends,u,no-cat
began,u,no-cat
global,u,no-cat
street,u,no-cat
amount,NA,no-cat
worldwide,u,no-cat
san,u,no-cat
cultural,u,no-cat
years,NA,no-cat
thai,NA,no-cat
days,u,no-cat
campaign,u,no-cat
album,u,no-cat
night,NA,no-cat
promote,u,no-cat
le,u,no-cat
followed,u,no-cat
promoted,NA,no-cat
hour,u,no-cat
clay,NA,no-cat
office,u,no-cat
association,u,no-cat
asian,u,no-cat
entertainment,u,no-cat
smoke,r,no-cat
share,NA,no-cat
passed,u,no-cat
currently,u,no-cat
capital,NA,no-cat
inn,NA,no-cat
conversation,u,no-cat
pub,u,no-cat
grounds,NA,no-cat
minute,u,no-cat
joe,u,no-cat
90,u,no-cat
sales,u,no-cat
malaysia,NA,no-cat
shortly,u,no-cat
shipping,u,no-cat
meeting,NA,no-cat
reported,u,no-cat
sale,u,no-cat
miss,u,no-cat
public,NA,no-cat
label,u,no-cat
diet,NA,no-cat
cancer,u,no-cat
indonesia,u,no-cat
2006,NA,no-cat
visits,NA,no-cat
medical,NA,no-cat
1978,NA,no-cat
recorded,u,no-cat
president,NA,no-cat
arriving,NA,no-cat
fair,u,no-cat
lee,u,no-cat
trust,NA,no-cat
audio,NA,no-cat
moved,NA,no-cat
facility,NA,no-cat
berry,u,no-cat
route,u,no-cat
visited,u,no-cat
thailand,NA,no-cat
stamp,u,no-cat
paid,NA,no-cat
marble,NA,no-cat
fish,i,no-cat
asia,u,no-cat
collapsed,NA,no-cat
news,u,no-cat
investment,NA,no-cat
heard,NA,no-cat
independence,NA,no-cat
happy,NA,no-cat
fat,u,no-cat
joint,NA,no-cat
golf,NA,no-cat
oz,NA,no-cat
met,u,no-cat
trip,u,no-cat
experience,NA,no-cat
influential,NA,no-cat
commented,NA,no-cat
audience,NA,no-cat
renamed,NA,no-cat
content,NA,no-cat
1990s,NA,no-cat
150,u,no-cat
station,u,no-cat
sought,NA,no-cat
2013,NA,no-cat
swamp,NA,no-cat
program,u,no-cat
filmed,NA,no-cat
alley,NA,no-cat
zoo,NA,no-cat
regarding,NA,no-cat
care,u,no-cat
beijing,u,no-cat
headquarters,NA,no-cat
miller,NA,no-cat
observed,u,no-cat
attended,u,no-cat
pond,NA,no-cat
jackson,NA,no-cat
300,u,no-cat
positive,NA,no-cat
1975,NA,no-cat
600,u,no-cat
jane,u,no-cat
52,u,no-cat
managing,NA,no-cat
planning,u,no-cat
alliance,u,no-cat
1989,u,no-cat
didn,NA,no-cat
programs,u,no-cat
crowd,u,no-cat
duo,NA,no-cat
college,NA,no-cat
ranks,NA,no-cat
speech,NA,no-cat
22,u,no-cat
sole,NA,no-cat
jones,NA,no-cat
jar,u,no-cat
tracy,NA,no-cat
luck,u,no-cat
