,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,object,bird,yellow,vehicle,food,all,mean
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vegetable,0.0,0.0,0.000663699994564744,0.0005280228480025492,0.0,0.0,0.0,0.0,0.0,0.0005412718574610031,0.0,0.0,0.0,0.0006055447546219852,0.0005606575519661414,0.00019327980044109484
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marigold,0.0,0.0,0.0,0.025548287195224898,0.0,0.0,0.0,0.0,0.0,0.030166459122891287,0.0,0.0,0.0,0.0,0.03034396039586363,0.00573724711426532
buttercup,0.0,0.0,0.0,0.018996845260345636,0.0,0.0,0.0,0.0,0.0,0.015299370526511879,0.0,0.0,0.0,0.0,0.017680134806980257,0.003465090039589185
cheese,0.0,0.0,0.0,0.0008927246251799174,0.0,0.0,0.0,0.0,0.0,0.000776052307157697,0.0,0.0,0.0,0.0009973164164010545,0.0007887149718980063,0.00023032055470911168
flower,0.0,0.0,0.0,0.042098657103500574,0.0,0.0,0.03587039894915966,0.0,0.0,0.03818327147470007,0.0,0.0,0.0,0.0,0.03875136614537083,0.010326912911515409
pansy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daffodil,0.0,0.0,0.0,0.08333413727091098,0.0,0.0,0.0,0.0,0.0,0.13522307256398072,0.0,0.0,0.0,0.0,0.135685081928444,0.023616152784222376
orchid,0.0,0.0,0.0,0.0028774569950931407,0.0,0.0,0.0,0.0,0.0,0.0021586750799324574,0.0,0.0,0.0,0.0,0.002168456712359541,0.0004803059191590093
sunflower,0.0,0.0,0.0,0.015227547870764397,0.0,0.0,0.0,0.0,0.0,0.012750725569274538,0.0,0.0,0.0,0.0,0.013001311845455188,0.0027319723523662747
daisy,0.0,0.0,0.0,0.016422126974604954,0.0,0.0,0.0,0.0,0.0,0.013998896455512565,0.0,0.0,0.0,0.0,0.014776379615152744,0.0030131602030180177
dandelion,0.0,0.0,0.0,0.005205846941422716,0.0,0.0,0.0,0.0,0.0,0.006019342851183238,0.0,0.0,0.0,0.0,0.00611548067987674,0.001156044698165513
herb,0.0,0.0,0.0,0.0024411974407030725,0.0,0.0,0.0,0.0,0.0,0.0023044140914749668,0.0,0.0,0.0,0.0021051435811877575,0.0021987562059450423,0.0006033007546207227
eucalyptus,0.0,0.0,0.0,0.0006316503782934774,0.0,0.0,0.0,0.0007400981185406751,0.0,0.0006121979251354839,0.0,0.0,0.0,0.0,0.0006085283282259801,0.0001728316500130411
allspice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0,0.0,0.0,0.0015418016638254655,0.0,0.0,0.0,0.0,0.0,0.0014080937005030785,0.0,0.0,0.0,0.0017893899517220525,0.0014554331644097336,0.00041298123203068864
gentianella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cactus,0.0,0.0,0.0,0.006949201842008575,0.0,0.0,0.0,0.0,0.0,0.0071991996663031245,0.0,0.0,0.0,0.0,0.007374378295651778,0.0014348519869308986
lemongrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willow,0.0,0.0,0.0,0.0014141110241871998,0.0,0.0,0.0,0.0,0.0,0.001485306141376796,0.0,0.0,0.0,0.0,0.0015040104454153345,0.00029356184073195537
vanilla,0.0,0.0,0.0,0.003859892828351433,0.0,0.0,0.0,0.0,0.0,0.0038695374042162526,0.0,0.0,0.0,0.0047265158705387545,0.004108271097155226,0.0011042811466841112
bus,0.0,0.0,0.0,0.0,0.0,0.00046465422838076986,0.0,0.0,0.0,0.0006047023226180968,0.0,0.0,0.000704999211168161,0.0,0.0006088137684332586,0.00015887796870668573
cannon,0.0,0.0,0.0,0.0,0.0,0.001051632116851292,0.0,0.0,0.0,0.0007859781305212736,0.0,0.0,0.0,0.0,0.0008008686274299818,0.00017589859165350314
