,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
oregano,0.0,0.0,0.006697943228965589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008226174416635163,0.0,0.006929603979674219,0.009582169210098294,0.0020957260556915508
broccoli,0.0,0.0,0.004057197053128992,0.00520997767969899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004966630964563482,0.0,0.00432158241117383,0.004749568940545122,0.0015536638032740279
eucalyptus,0.0,0.0,0.0046042776352972,0.0,0.0,0.0,0.0,0.0061358102770661255,0.0,0.0,0.0,0.005578894456899872,0.0,0.0,0.0056194216296438036,0.0014625602665938
weed,0.0,0.0,0.000758998753587226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009413388532443221,0.0,0.0,0.0009600562843307695,0.0001773595927441545
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhubarb,0.0,0.0,0.014060035818726705,0.01584317426790457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016943887349290858,0.0,0.014474791516236851,0.016215886568852114,0.005169185034734073
cilantro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass,0.0,0.0,0.006696587661811281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009915651708167869,0.0,0.007667717203343764,0.010116323508755626,0.002293085338805236
pepper,0.0,0.0,0.010253508376033353,0.010821705465552781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012457662683756955,0.0,0.011410865788400759,0.012352897397609367,0.0038197759807568816
pine,0.0,0.0,0.0023517352483491227,0.0,0.0,0.0,0.0,0.0034489352072284173,0.0,0.0,0.0,0.0031792695850114965,0.0,0.0,0.0031871225749671534,0.0008111375077037459
plantain,0.0,0.0,0.00965688844514494,0.01096633062264709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012331748608892999,0.0,0.010178926500840613,0.01270131729520141,0.0037223474315151365
celery,0.0,0.0,0.007810630979452061,0.00901389729446233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837108167582483,0.0,0.008498585611916713,0.008164236624337694,0.0027905621457329083
fir,0.0,0.0,0.0011313885168815765,0.0,0.0,0.0,0.0,0.0015693432054408533,0.0,0.0,0.0,0.0015516761765710706,0.0,0.0,0.0015298891221660412,0.0003854864680706361
asparagus,0.0,0.0,0.011652720593559892,0.013653360659903909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014157952453103624,0.0,0.012702557749751403,0.013490444703487096,0.004377135743987061
maize,0.0,0.0,0.026351546904533896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027964934918912214,0.0,0.0,0.02804600919244656,0.0054908327343928445
vegetable,0.0,0.0,0.048739512797864364,0.05044340739459802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05810172404198938,0.0,0.052451676898706924,0.05930427766960416,0.017936039920184187
elm,0.0,0.0,0.0003886736239846842,0.0,0.0,0.0,0.0,0.0005330767485349115,0.0,0.0,0.0,0.0005089384775559773,0.0,0.0,0.0004912961940327316,0.000128132336273887
dogwood,0.0,0.0,0.009380972720735957,0.0,0.0,0.0,0.0,0.011956301141415342,0.0,0.0,0.0,0.011273134843820795,0.0,0.0,0.010851292793840036,0.0028974467666541418
