,all,relation,bird,mammal,no-cat,animal,food,object,female,communication,fish,criminal,measure,mean,median
communist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.00010649273172160564,0.00017896635027760447,0.0,9.82286274498895e-05,0.0,9.818046528413109e-05,0.0,0.00010776772796703268,0.0,0.0,0.0,0.0,0.0,4.5356607900020263e-05,0.0
henchman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prefect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prisoner,0.000880816457407569,0.0,0.0,0.0,0.0,0.0,0.0,0.0008848448649170883,0.0,0.0,0.0,0.0,0.0,0.00013582010171728134,0.0
separatist,7.986364695329063e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.092806006225651e-05,0.0,0.0,0.0,0.0,0.0,1.2368592847349782e-05,0.0
socialite,0.0031904666866338412,0.0,0.0,0.0,0.0,0.0,0.0,0.003204842831535848,0.0,0.0,0.0,0.0,0.0,0.000491946886013053,0.0
newcomer,0.0009019248175228577,0.0,0.0,0.0,0.0,0.0,0.0,0.0008995406305813883,0.0,0.0,0.0,0.0,0.0,0.00013857426523878816,0.0
dad,0.0025410113392158756,0.0,0.0,0.0,0.0,0.0,0.0,0.0025393753568299193,0.0,0.0,0.0,0.0,0.0,0.0003907989766189073,0.0
orthodontist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poet,0.0011493622756011902,0.0,0.0,0.0,0.0,0.0,0.0,0.0011517702277623158,0.0,0.0,0.0,0.0,0.0,0.00017701019256642357,0.0
nephew,0.008350718272551502,0.0,0.0,0.0,0.0,0.0,0.0,0.008423478462054153,0.0,0.0,0.0,0.0,0.0,0.0012903228257388965,0.0
webmaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
senator,0.00029970249904893266,0.0,0.0,0.0,0.0,0.0,0.0,0.0003028302203840867,0.0,0.0,0.0,0.0,0.0,4.6348670725616876e-05,0.0
