,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
apricot,0.02276015200876023,0.0233326816546139,0.0,0.0,0.02138145639048933,0.0,0.0,0.0,0.0,0.0,0.020703355569425496,0.026369603009713315,0.0,0.0,0.0,0.007636483242200152
candy,0.0392264627902152,0.0,0.0,0.0,0.040677233708257425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005326913099898175
vinegar,0.0003594696592278395,0.0,0.0,0.0,0.000324558669568308,0.0,0.0003472900433721516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875455814455327e-05
egg,0.0034186611624289374,0.0,0.0,0.0,0.003226035142105022,0.0,0.0,0.0,0.0,0.0,0.0031221741559362276,0.0,0.0,0.0,0.0,0.0006511246973646791
cream,0.0038194306865393123,0.0,0.0,0.0,0.003631551558143967,0.0,0.0,0.0,0.0,0.0,0.003589829909597462,0.0,0.0,0.0,0.0,0.0007360541436187161
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.003143930943328872,0.0027028140899147063,0.0,0.0,0.002550059981056401,0.0,0.0,0.0,0.0,0.0,0.0025134055686244668,0.003051096333475302,0.0,0.0,0.0,0.00093075379442665
banana,0.0014090426704838144,0.0013496651041217996,0.0,0.0,0.0014593402120381713,0.0,0.0,0.0,0.0,0.0,0.0014683545131810624,0.0015646551117259131,0.0,0.0,0.0,0.00048340384077005073
herring,0.0017076074429758022,0.0,0.0013871651516974674,0.0,0.0018057063300137223,0.0,0.0,0.0,0.0,0.0,0.0017368215176953074,0.0,0.0,0.0020585454228053603,0.0,0.0005797230576791772
broccoli,0.0007792826841618771,0.0007542781792688602,0.0,0.0,0.0006920135831740278,0.0,0.0,0.0009928309652912559,0.0,0.0,0.0006954387067448148,0.0,0.0,0.0,0.0,0.00026092294124272235
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.003977637737489598,0.0,0.0,0.0,0.0035969704178171803,0.0,0.0037790654209212144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007569115717485328
cilantro,0.0012972890369592368,0.0011590685582884843,0.0,0.0,0.0010520925596852692,0.0,0.0,0.0,0.0,0.0,0.001019484716720904,0.0,0.0,0.0,0.0,0.0003018623247769263
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.002333960035348351,0.0,0.0,0.0,0.002498729339964235,0.0,0.0027431249431318404,0.0,0.0,0.0,0.0024712664773735016,0.0,0.0,0.0,0.0,0.0006698053863878619
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.001735886249482229,0.0015216752442807294,0.0,0.0,0.0013553015701491507,0.0,0.0,0.0,0.0,0.0,0.0012930407904652383,0.0,0.0,0.0,0.0,0.0003937269236251565
avocado,0.010282130662889254,0.009170437423145375,0.0,0.0,0.009018975590787126,0.0,0.0,0.0,0.0,0.0,0.008863406592756919,0.010361165264450871,0.0,0.0,0.0,0.0031797410356019695
cinnamon,0.001647203294728276,0.0014620813662718248,0.0,0.0,0.0013396031174264032,0.0,0.0,0.0,0.0,0.0,0.0012843291315761888,0.0,0.0,0.0,0.0,0.0003822144606668462
artichoke,0.003495970284150516,0.0028896850546632196,0.0,0.0,0.0033415416652739682,0.0,0.0,0.003088707222438645,0.0,0.0,0.003207788321029098,0.0,0.0,0.0,0.0,0.0010682461698370298
blueberry,0.024767489864641164,0.022140803396892336,0.0,0.0,0.02188816950075554,0.0,0.0,0.0,0.0,0.0,0.021832844469416458,0.02759201012325003,0.0,0.0,0.0,0.007881421156997035
celery,0.0006023858251404545,0.0005445374974098977,0.0,0.0,0.0004905296178954643,0.0,0.0,0.0006307049714687607,0.0,0.0,0.00047871938518212085,0.0,0.0,0.0,0.0,0.00018312515313977988
chicken,0.0005070173298950847,0.0,0.0,0.0,0.0004469872424256745,0.0,0.0,0.0,0.0,0.0005656673049476912,0.00043997573265651933,0.0,0.0,0.000525618793960288,0.0,0.00016568442692568383
pineapple,0.0011989048503531342,0.0010525909085942046,0.0,0.0,0.0010352805396334284,0.0,0.0,0.0,0.0,0.0,0.0010221182994646948,0.0012258587165021762,0.0,0.0,0.0,0.0003689835543031759
honey,0.004312742408728364,0.0,0.0,0.0,0.004197580159765874,0.0,0.0,0.0,0.0,0.0,0.004130250705952117,0.0,0.0,0.0,0.0,0.0008427048849630904
coconut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yogurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cereal,0.0007305420403423479,0.000652579215379306,0.0,0.0,0.0007192232031570256,0.0,0.0,0.0,0.0,0.0,0.000705399896734034,0.0,0.0,0.0,0.0,0.00018718295704084757
milk,0.0007303836253125122,0.0,0.0,0.0,0.0006780392254691307,0.0,0.0007072050783825918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001410418619442823
truffle,0.006136817892168731,0.0,0.0,0.0,0.005689170174544656,0.0,0.0,0.005528663233412936,0.0,0.0,0.005597891559683186,0.0,0.0,0.0,0.0,0.0015301695239873007
coffee,0.0005565466177923863,0.00048810014036727265,0.0,0.0,0.0005475780394868538,0.0,0.0005961425990181077,0.0,0.0,0.0,0.0005431150598080236,0.0005778140500825526,0.0,0.0,0.0,0.00022061976710367975
vanilla,0.0011613862268498834,0.0010331086037172015,0.0,0.0,0.0010118518254529228,0.0,0.0,0.0,0.0,0.0,0.000994036050148615,0.0,0.0,0.0,0.0,0.00028002551374457487
grapefruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.0020467663893157005,0.0,0.002070454521587061,0.0,0.0022455062866623423,0.0033876531748374254,0.0,0.0,0.0,0.0,0.0022603026662310036,0.0,0.0,0.0028812741554661023,0.0,0.000992797146273309
bulgur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheat,0.00015337802486645766,0.00013938436902275286,0.0,0.0,0.0001458945412066837,0.0,0.0,0.0,0.0,0.0,0.00014487946572069017,0.0,0.0,0.0,0.0,3.890242672110563e-05
potato,0.0011061813391386407,0.000981605125650415,0.0,0.0,0.0010473956651767067,0.0,0.0,0.0010909558166922434,0.0,0.0,0.0010348072031204165,0.0,0.0,0.0,0.0,0.00035072967665189487
lime,0.021293543431559418,0.018578783209409346,0.0,0.0,0.017482941389346553,0.0,0.01709212440312608,0.0,0.0,0.0,0.017296692520813787,0.02112591360662488,0.0,0.0,0.0,0.007524666570725338
fenugreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peony,0.0,0.0018963079272420933,0.0,0.0,0.002337272962573377,0.0,0.0,0.0,0.0,0.0,0.002239955224740882,0.0,0.0,0.0,0.0,0.0004315690743037568
vine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flower,0.0,0.018720453199594398,0.0,0.0,0.02069342616051755,0.0,0.0,0.0,0.0,0.0,0.019963222261964356,0.0,0.02723764600298594,0.0,0.0,0.005774316508337483
carnation,0.0,0.00947526280910349,0.0,0.0,0.011725569129670944,0.0,0.0,0.0,0.0,0.0,0.011131201118202821,0.0,0.0,0.0,0.0,0.0021554688704651507
pansy,0.0,0.005951992726645713,0.0,0.0,0.00698337378997847,0.0,0.0,0.0,0.0,0.0,0.00686386000313806,0.0,0.0,0.0,0.0,0.0013199484346508162
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fern,0.0,0.002544887431386054,0.0,0.0,0.002619138822743957,0.0,0.0,0.0,0.0,0.0,0.0025245977239261226,0.0,0.0,0.0,0.0,0.0005125749318704089
geranium,0.0,0.01576271776553867,0.0,0.0,0.016045827647513167,0.0,0.0,0.0,0.0,0.0,0.015559092291998769,0.0,0.0,0.0,0.0,0.00315784251367004
weed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut,0.0,0.00014817739380973738,0.0,0.0,0.00014495509979547676,0.0,0.0,0.0,0.0,0.0,0.00014065567602745935,0.00017507758794110966,0.0,0.0,0.0,4.059105050491888e-05
chive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sycamore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
