,all,relation,bird,animal,food,plant,object,female,fruit,blue,communication,vegetable,fish,vehicle,measure,mean,median
snake,0.0055140733346804695,0.0,0.0,0.0057086299910373735,0.0,0.0,0.0053170655909521155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011026512611113305,0.0
bear,0.0014778417486832728,0.0,0.0,0.00134073472044929,0.0,0.0,0.0014589853923338042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002851707907644245,0.0
jaguar,0.002880983839092738,0.0,0.0,0.00251475102846579,0.0,0.0,0.0027737994856443264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000544635623546857,0.0
raisin,0.002641289981312611,0.0,0.0,0.0,0.0044093868966053815,0.0,0.0025797071158548505,0.0,0.006287345205048935,0.0,0.0,0.0,0.0,0.0,0.0,0.0010611819465881185,0.0
alligator,0.014434779502534245,0.015472225764311892,0.0,0.01345792920400158,0.0,0.0,0.014151728476868576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038344441965144195,0.0
oven,0.00032482808541696033,0.0,0.0,0.0,0.0,0.0,0.00031161962666875694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2429847472381154e-05,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.0008793936990499653,0.0,0.0,0.0,0.0009907797904446444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012467823263297398,0.0
squirrel,0.00837453172926024,0.008394040616312293,0.0,0.007097339796243549,0.0,0.0,0.00799789398766285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002124253741965262,0.0
raven,0.0022990199696648,0.0,0.0031392457611247775,0.002645643848220348,0.0,0.0,0.002296322797503447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006920154917675581,0.0
goldfish,0.014691352792619482,0.0,0.0,0.01282021916055214,0.0,0.0,0.014225321938745508,0.0,0.0,0.0,0.0,0.0,0.017294141564315964,0.0,0.0,0.003935402363748873,0.0
apple,0.0015138360408670263,0.0,0.0,0.0,0.00189655481374072,0.0017461229189499967,0.0014686277021168767,0.0,0.002394020531800159,0.0,0.0,0.0,0.0,0.0,0.0,0.0006012774671649852,0.0
cherry,0.003918600314569973,0.004493925522791129,0.0,0.0,0.005164716240210317,0.005018465920877424,0.0037965439079856063,0.0,0.006323024234406715,0.0,0.0,0.0,0.0,0.0,0.0,0.001914351742722744,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heart,0.0026365413345999554,0.0029420421263417177,0.0,0.0,0.0031313827839685162,0.0,0.002564391830556089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007516238716977518,0.0
salad,0.005546910277563998,0.0,0.0,0.0,0.007758624984012469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008870356841050979,0.0
crab,0.04151693883114249,0.0,0.0,0.04028537136207197,0.062313091809103806,0.0,0.04130073227885927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012361075618745169,0.0
