context,evidence_type,categories
seriously,u,no-cat
traveled,u,no-cat
moves,u,no-cat
mirror,u,no-cat
mission,u,no-cat
lane,u,no-cat
upside,u,no-cat
upcoming,u,no-cat
maintenance,u,no-cat
lots,u,no-cat
passengers,u,no-cat
threat,u,no-cat
pit,u,no-cat
trailer,i,no-cat
objects,i,no-cat
needs,u,no-cat
occur,u,no-cat
otherwise,u,no-cat
topped,u,no-cat
traced,u,no-cat
tough,u,no-cat
descended,u,no-cat
applied,u,no-cat
approval,u,no-cat
direct,u,fruit no-cat
creates,u,no-cat
atop,u,no-cat
customers,u,no-cat
disastrous,u,no-cat
advantage,u,no-cat
emerging,u,no-cat
changed,u,no-cat
cash,u,no-cat
clark,u,no-cat
contrast,u,no-cat
contend,u,no-cat
costly,u,no-cat
computer,u,no-cat
companion,u,no-cat
competing,u,no-cat
comparable,u,no-cat
55,u,no-cat
71,u,no-cat
53,u,no-cat
burst,u,no-cat
round,u,fruit no-cat
landing,u,no-cat
forced,u,no-cat
tax,u,no-cat
up,u,no-cat
rapidly,u,no-cat
letting,u,no-cat
tourists,u,no-cat
slowly,u,no-cat
evening,u,no-cat
child,u,no-cat
hung,u,no-cat
where,u,fruit no-cat
until,u,no-cat
path,u,no-cat
sept,u,no-cat
latest,u,no-cat
challenge,u,no-cat
rising,u,no-cat
suspended,u,no-cat
climb,u,no-cat
object,u,no-cat
own,u,no-cat
second,u,no-cat
short,u,fruit no-cat
top,u,no-cat
included,u,no-cat
smashed,uu,no-cat
beyond,u,no-cat
hospital,u,no-cat
missing,u,no-cat
even,u,fruit no-cat
official,u,no-cat
told,u,no-cat
broken,u,no-cat
opens,u,no-cat
happens,u,no-cat
matter,u,no-cat
material,u,no-cat
stories,u,no-cat
marking,u,no-cat
handle,i,no-cat
clearing,u,no-cat
given,u,no-cat
prepare,u,no-cat
article,u,no-cat
website,i,no-cat
means,u,no-cat
wednesday,u,no-cat
co,u,no-cat
easier,u,no-cat
understand,u,no-cat
sink,u,fruit no-cat
shortly,u,no-cat
aid,u,no-cat
structure,u,no-cat
services,u,no-cat
crisis,u,no-cat
failing,u,no-cat
report,u,no-cat
finger,u,no-cat
risky,u,no-cat
ms,u,no-cat
thus,u,no-cat
26,u,no-cat
talking,u,no-cat
iraq,u,no-cat
load,u,no-cat
throw,u,no-cat
terms,u,no-cat
carefully,u,no-cat
possibility,u,no-cat
running,u,no-cat
estimates,u,no-cat
mixed,u,no-cat
naked,u,no-cat
raising,u,no-cat
wary,u,no-cat
pride,u,no-cat
african,u,no-cat
prompted,u,no-cat
promise,u,no-cat
art,u,no-cat
level,u,no-cat
fifth,u,no-cat
financial,u,no-cat
52,u,no-cat
experienced,u,no-cat
likened,u,no-cat
remove,u,no-cat
boys,u,no-cat
claim,u,no-cat
clock,u,no-cat
bomb,u,no-cat
date,u,no-cat
contains,u,no-cat
television,u,no-cat
news,u,no-cat
led,u,no-cat
cut,u,no-cat
cast,u,no-cat
choice,u,no-cat
happen,u,no-cat
carrier,u,no-cat
presidential,u,no-cat
stuff,u,no-cat
prevented,u,no-cat
husband,u,no-cat
women,u,no-cat
stretched,u,no-cat
de,u,fruit no-cat
thailand,u,no-cat
decide,u,no-cat
cup,u,no-cat
triggered,u,no-cat
trigger,u,no-cat
banner,u,no-cat
thick,u,no-cat
bath,u,no-cat
bunch,u,no-cat
anything,u,no-cat
fourth,u,no-cat
manufacturers,u,no-cat
spoke,u,no-cat
constant,u,no-cat
covering,u,no-cat
oil,i,no-cat
medium,u,no-cat
role,u,no-cat
provides,u,fruit no-cat
drinking,u,no-cat
source,u,no-cat
major,u,no-cat
sees,u,no-cat
map,u,no-cat
chances,u,no-cat
basis,u,no-cat
of,u,fruit
director,u,fruit
called,u,fruit
young,u,fruit
sometimes,u,fruit
your,u,fruit
featuring,u,fruit
dozens,u,fruit
caught,u,fruit
herself,u,fruit
labeled,u,fruit
mother,u,fruit
world,u,fruit
laden,u,fruit
