,food,plant,all,relation,bird,object,fruit,measure,animal,round,mean
salad,0.0008468787638914043,0.0,0.0007659163016377231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016127950655291275
omelette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheeseburger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.006178043554701387,0.005030913852841452,0.005523497789122243,0.0,0.0,0.005292227849862637,0.004940284167986353,0.0,0.0,0.0,0.002696496721451407
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doughnut,0.006376159690836409,0.0,0.006437504893069621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001281366458390603
cantaloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookie,0.004762765186148214,0.0,0.00440871506812045,0.0,0.0,0.004055744171040421,0.0,0.0,0.0,0.0,0.0013227224425309085
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pineapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dough,0.0689325151220192,0.0,0.06205207540171259,0.0,0.0,0.0,0.0,0.04707875809590981,0.0,0.0,0.01780633486196416
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.0015314055020389553,0.0012176758906000237,0.0013935367401117147,0.0,0.0,0.001342003994262841,0.0012129921411261212,0.0,0.0,0.0,0.0006697614268139655
dessert,0.0031556002672216902,0.0,0.0029424272197790175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006098027487000708
pudding,0.0013789002604823815,0.0,0.0012393154856090451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002618215746091427
patty,0.0001877060057109358,0.0,0.00015862956963794882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.463355753488846e-05
tomato,0.0010403936873562478,0.0008222490025107437,0.00096635111587684,0.0,0.0,0.0008681024340669907,0.0,0.0,0.0,0.0,0.0003697096239810822
vegetable,0.0009043215960103662,0.0006701052674476715,0.0008107806009353644,0.0,0.0,0.0007649821481327868,0.0,0.0,0.0,0.0,0.00031501896125261887
condiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.0003810003211761177,0.00027925579532314996,0.0003255379113712397,0.0,0.0,0.0002864021759518001,0.0,0.0,0.0,0.0,0.00012721962038223072
sauce,0.00028733057446403084,0.0,0.00024135321585293828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2868379031696914e-05
butter,0.0004042132108337279,0.0,0.00035329860683456756,0.0,0.0,0.00030397229024989,0.0,0.0,0.0,0.0,0.00010614841079181853
puree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cake,0.008092573830737722,0.0,0.007580646847805119,0.0,0.0,0.007146560035266033,0.0,0.0,0.0,0.0,0.0022819780713808874
custard,0.00398163204187613,0.0,0.0036243136324652756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007605945674341405
mozzarella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepperoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lolly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,0.00046158202289599477,0.0003651081138806123,0.0004239130317113161,0.0,0.0,0.0003868786112876833,0.0,0.0,0.0,0.0,0.00016374817797756063
