,food,communication,plant,no-cat,all,mammal,relation,vegetable,bird,object,fruit,measure,animal,weapon,green,mean
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mango,0.00611506902843742,0.0,0.00624702786321549,0.0,0.005482233434117835,0.0,0.0,0.0,0.0,0.005355508715778888,0.0067948381428928365,0.0,0.0,0.0,0.0,0.001999645145629498
celery,0.0006126030234587195,0.0,0.0005984976448051548,0.0,0.0005096361793770084,0.0,0.0,0.0006514134944873441,0.0,0.0004952309755459238,0.0,0.0,0.0,0.0,0.0,0.00019115875451161004
pineapple,0.002267422409149529,0.0,0.0022587973356725773,0.0,0.0020665926336910314,0.0,0.0,0.0,0.0,0.0020057140944428533,0.0024686774850360025,0.0,0.0,0.0,0.0,0.0007378135971994661
coconut,0.005084582307290473,0.0,0.0051736628462863195,0.0,0.004943702823504365,0.0,0.0,0.0,0.0,0.004788643312208826,0.005928831113047585,0.0,0.0,0.0,0.0,0.001727961493489171
asparagus,0.011787141688886995,0.0,0.011334559866193394,0.0,0.011020072049378403,0.0,0.0,0.011448553771557466,0.0,0.010636183561470574,0.0,0.0,0.0,0.0,0.0,0.0037484340624991215
grape,0.0032165106499894842,0.0,0.0031425360127873337,0.0,0.0030736686380003907,0.0,0.0,0.0,0.0,0.002966686272057582,0.0034868856007652395,0.0,0.0,0.0026816634922140685,0.0,0.0012378633777209399
vegetable,0.00916609023275917,0.0,0.009113948865533177,0.0,0.00844803658672638,0.0,0.0,0.008964421354200563,0.0,0.008288983132278575,0.0,0.0,0.0,0.0,0.0,0.0029320986780998577
sauce,0.00038261816797422176,0.0,0.0,0.0,0.0003080360111847317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6043611943930234e-05
grapefruit,0.009711452452407333,0.0,0.00958377477299762,0.0,0.008850183970236902,0.0,0.0,0.0,0.0,0.008621956854230966,0.010348716925949429,0.0,0.0,0.0,0.0,0.0031410723317214836
lime,0.0045279739364910195,0.0,0.004508998668438649,0.0,0.00391658062087715,0.0,0.0033041034654720703,0.0,0.0,0.0038385962359275194,0.004899930394106252,0.0,0.0,0.0,0.0,0.001666412221420844
fenugreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ketchup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumpkin,0.0023856705150073305,0.0,0.0020859822780976795,0.0,0.00210024152608516,0.0,0.0,0.001989189400424243,0.0,0.0020741695441892755,0.0,0.0,0.0,0.0,0.0,0.0007090168842535794
jam,0.00030145641249399054,0.0,0.0,0.0,0.00034900803937341603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3364296791160435e-05
champagne,0.017450381806820535,0.0,0.0,0.0,0.018713061342102336,0.0,0.018679029089563155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036561648158990683
cheese,0.001402557928899764,0.0,0.0012029153942529982,0.0,0.0012103170938511446,0.0,0.0,0.0,0.0,0.0011905758335262618,0.0,0.0,0.0,0.0,0.0,0.00033375775003534455
cherry,0.008339839051390668,0.0,0.007790744517084038,0.0,0.008262418197728225,0.0,0.00809416480903733,0.0,0.0,0.00821503633350104,0.00895257243041041,0.0,0.0,0.0,0.0,0.0033103183559434475
slug,0.001243006816853502,0.0,0.0,0.0,0.0014212455653947154,0.0,0.0016416046188069576,0.0,0.0,0.0013967179467269547,0.0,0.0014330840680269504,0.0022410785541337576,0.0018387935866756016,0.0,0.000747702077107896
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iceberg,0.00033149771396797143,0.0,0.0,0.0,0.0003370169483680595,0.0,0.0,0.0003179653181226632,0.0,0.00033170115079138074,0.0,0.0,0.0,0.0,0.0,8.787874208333832e-05
garlic,0.0010344723234503492,0.0,0.0009230709403044304,0.0,0.0008674209495257184,0.0,0.0,0.0,0.0,0.0008617782028445764,0.0,0.0,0.0,0.0,0.0,0.00024578282774167165
rice,0.0005570533647669375,0.0,0.0005400166185525096,0.0,0.0006972075533438741,0.0,0.0,0.0,0.0,0.0006606552700704477,0.0,0.0,0.0,0.0,0.0,0.0001636621871155846
blueberry,0.004511622253780801,0.0,0.004023426214060197,0.0,0.004060125116451833,0.0,0.0,0.0,0.0,0.004023127261927165,0.004907679443132077,0.0,0.0,0.0,0.0,0.0014350653526234716
chicken,0.00015749289474287773,0.0,0.0,0.0,0.00014554410383167682,0.0,0.0,0.0,0.00014539092379065786,0.000144479023189078,0.0,0.0,0.00017242999535786057,0.0,0.0,5.102246272747673e-05
shrimp,0.003307770858815801,0.0,0.0,0.0,0.003086373419983329,0.0,0.0,0.0,0.0,0.003055803949936861,0.0,0.0,0.0034754365375339225,0.0,0.0,0.0008616923177513276
beet,0.0018839179545894122,0.0,0.0017979895163403063,0.0,0.0017578757002677014,0.0,0.0,0.0017959446351523353,0.0,0.001762528718566593,0.0,0.0,0.0,0.0,0.0,0.0005998837683277565
carrot,0.0022880534627748297,0.0,0.002102596379285674,0.0,0.0021784358288789722,0.0,0.0,0.0021368625350976322,0.0,0.0021585410169442758,0.0,0.0,0.0,0.0,0.0,0.0007242992815320923
wine,0.00706692248446991,0.0,0.0,0.0,0.007303947764077095,0.0,0.007159568959759117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014353626138870748
cider,0.0009555278263734715,0.0,0.0,0.0,0.0008994105951720781,0.0,0.0008552050477893579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018067623128899385
tomato,0.0013630288712772021,0.0,0.0011620871538823507,0.0,0.0011236776169887296,0.0,0.0,0.0012254373861926803,0.0,0.0011140059533361097,0.0,0.0,0.0,0.0,0.0,0.0003992157987784715
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tongue,0.00026595838617616137,0.0,0.0,0.0,0.0002804509821652112,0.0,0.0,0.0,0.0,0.0002759041230680197,0.0,0.0,0.0,0.0,0.0,5.482089942729282e-05
dog,0.001576468136326552,0.0,0.0,0.0033466862081134906,0.0018535564190950962,0.0022934256792400557,0.0,0.0,0.0,0.0018376925921109962,0.0,0.0,0.0026292685442462723,0.0,0.0,0.0009024731719421642
bulgur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
