,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhagoletis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cowpeas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009366747296906782,0.0,0.0,0.0,0.0,0.009508021884138343,0.0012583179454030082
brick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001988092800304242,0.0,0.0,0.0,0.0,0.001959235102864634,0.00026315519354459175
oven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004447868920154291,0.0,0.0,0.0,0.0,0.004575484711602675,0.0006015569087837977
dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004169552302142521,0.0,0.0,0.0,0.0,0.004211567257222856,0.0005587413039576918
balloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007214401747197509,0.0,0.0,0.0,0.0,0.0007199928340167001,9.60955339157634e-05
lip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010579959526017455,0.0,0.0,0.0,0.0,0.0010557148312393431,0.00014091405225607258
football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.988992973622715e-05,0.0,0.0,0.0,0.0,9.028270657779227e-05,1.2011509087601294e-05
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010133885284798175,0.0,0.0,0.009324572720245906,0.0,0.010140038517557006,0.0019732331015067392
lipstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378367610035037,0.0,0.0,0.0,0.0,0.03715621225252143,0.004999531550401675
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011035644270020468,0.0,0.0,0.001209340932491842,0.0,0.0011038757822473759,0.00022778540944941764
cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007560171114364675,0.0,0.0,0.0,0.0008017202459258033,0.0007632149652431158,0.0001547301548403591
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambulance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014579426986407636,0.0,0.0,0.0016781432085963412,0.0,0.0015150794576139247,0.0003100776909900686
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00274902353730938,0.0,0.0,0.0,0.0028883585933017954,0.0027652295750040957,0.0005601741137076847
pit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007805451962255519,0.0,0.0,0.0,0.0,0.0007754959031556983,0.00010373607329208335
cream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003972361556885462,0.0,0.0,0.0,0.004246912375981594,0.003999672117740114,0.0008145964033738114
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shiitake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038422837135234445,0.0,0.0,0.0,0.0,0.0038218204173780072,0.0005109402753934302
limousine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025500605902290725,0.0,0.0,0.0033239878406607403,0.0,0.00249889418662152,0.0005581961745007556
honey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011764110822228546,0.0,0.0,0.0,0.0012837897834252344,0.0011901666566826463,0.000243357834822049
syrup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007811573404273227,0.0008114469020391217,0.00010617361616442963
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marinade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sauce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005396392786078171,0.00046666339444393593,6.708684487011686e-05
candy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012103991933940596,0.012014346099433663,0.0016078892022249505
yogurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042628498500639385,0.003591919890303945,0.0005236513160245255
bulgur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
