,reptile,food,fish,communication,plant,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
chicken,0.0,0.0009261987818508568,0.0,0.0,0.0,0.0,0.0,0.000787331813342536,0.0,0.0,0.0008513184263906564,0.000787331813342536,0.0,0.000787331813342536,0.0002956794748763658
stock,0.0,0.00013964880321396572,0.0,0.0001628212011417689,0.0001918047875202946,0.0,0.0,0.0001362396102326171,0.00013786793599702404,0.00018325824385798656,0.0,0.0001362396102326171,0.0,0.0001362396102326171,8.74371287449208e-05
beef,0.0,0.00020875832129822215,0.0,0.0,0.0,0.0,0.0,0.00019316866286556852,0.00017782483478610852,0.0,0.0,0.00019316866286556852,0.0,0.00019316866286556852,6.900636747721687e-05
sturgeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
runner,0.0,0.0,0.001990156784410902,0.0,0.0,0.0016406204306779254,0.0,0.001501770630433664,0.0,0.0,0.0,0.0015015422726435154,0.0,0.0015015422726435154,0.0005811165993435373
guppy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.0,0.0,0.043074783866360405,0.0,0.0,0.0,0.0,0.03164325764828106,0.0,0.0,0.0,0.03165536503972639,0.0,0.03165536503972639,0.009859197971006732
bullhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seahorse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
largemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sweeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drum,0.0,0.0,0.0011350829460363143,0.0,0.0,0.0,0.0,0.0010545256003517956,0.0,0.0,0.0,0.0010545256003517956,0.0,0.0010545256003517956,0.00030704712479226443
thresher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seal,0.0,0.0,0.0,0.08831815011791384,0.0,0.0,0.0,0.08318687347542768,0.09475989021337285,0.09492011863713745,0.0,0.08319086735097736,0.0,0.08319086735097736,0.037683340510414755
