,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,measure,vehicle,mean
shunter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupe,0.0,0.0,0.0,0.0,0.00040271468444618406,0.0,0.0,0.0,0.00038720247936961525,0.0,0.0,0.0003549897065825447,9.540890586652866e-05
trailer,0.0,0.0,0.0,0.0,0.0020613257927902585,0.002041528782673265,0.0,0.0,0.001996546812150095,0.0,0.0,0.00210887325006761,0.0006840228864734357
schooner,0.0,0.0,0.0,0.0,0.004312841739226083,0.0,0.0,0.0,0.004272617265607337,0.0,0.0,0.0038409022380534235,0.0010355301035739036
van,0.0,0.0,0.0,0.0,0.005785961107340407,0.0,0.0,0.0,0.005650930447584747,0.0,0.0,0.005680412286142812,0.0014264419867556638
tower,0.0,0.0,0.0,0.0,0.004197594591114692,0.0,0.0,0.0,0.004127931073339797,0.0,0.0,0.004031782506868931,0.0010297756809436183
tractor,0.0,0.0,0.0,0.0,0.002518966681129182,0.0,0.0,0.0,0.002480135799997421,0.0,0.0,0.002759274895581688,0.0006465314480590241
car,0.0,0.0,0.0,0.0,0.00404153394710115,0.0,0.0,0.0,0.003984796063460438,0.0,0.0,0.004032528555584214,0.0010049048805121502
heap,0.0,0.0,0.0,0.0,0.0011018166452760815,0.001274095168994031,0.0,0.0,0.0010851943924672215,0.0,0.0015347495720989884,0.0010266794330125032,0.0005018779343207354
sharpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tramcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minesweeper,0.0,0.0,0.0,0.0,0.0018453612056389622,0.0,0.0,0.0,0.0018203356850096943,0.0,0.0,0.0017435212922223154,0.00045076818190591437
sloop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sausage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yawl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bogie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrier,0.0,0.0,0.0,0.0,0.011090251117536825,0.0,0.012604917442927546,0.0,0.01103537449944851,0.0,0.0,0.01205011575869598,0.003898388234884072
clarence,0.0,0.0,0.0,0.0,0.001281756350832017,0.0,0.0,0.0,0.0012623140007010268,0.0,0.0,0.0012049898306332374,0.0003124216818471901
bark,0.0,0.0,0.0,0.0,0.00084933518475456,0.0,0.0,0.0,0.0008378921575517299,0.0,0.0,0.0007554245027034579,0.000203554320417479
submarine,0.0,0.0,0.0,0.0,0.003316781553738359,0.0,0.0,0.0,0.0032839182340425144,0.00270593051607757,0.0,0.0034973812091137805,0.001067000959414352
scull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phaeton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
velocipede,0.0,0.0,0.0,0.0,0.016033357742488482,0.0,0.0,0.0,0.015493600375352893,0.0,0.0,0.014694670368523743,0.0038518023738637595
taxi,0.0,0.0,0.0,0.0,0.002174549625229002,0.0,0.0,0.0,0.0021363205131868885,0.0,0.0,0.0023302984754153093,0.0005534307178192666
