,animal,tool,plant,vegetable,used_in_cooking,mammal,no-cat,measure,relation,object,weapon,bird,communication,vehicle,food,all,cutlery,mean
cheese,0.0,0.0,0.03718467061282822,0.0,0.0,0.0,0.0,0.0,0.0,0.0334056018544328,0.0,0.0,0.0,0.0,0.03941773444931323,0.03343038702478675,0.0,0.008437552584785941
chickpea,0.0,0.0,0.0784327704336842,0.0784327704336842,0.0,0.0,0.0784643921133867,0.0,0.0,0.08350052402130263,0.0,0.0,0.0,0.0,0.07933521875924528,0.0835805995461558,0.0,0.028338016194556403
lentil,0.0,0.0,0.09227261779229443,0.09227261779229443,0.0,0.0,0.09247923724120066,0.0,0.0,0.09925762197612802,0.0,0.0,0.0,0.0,0.10369734766242854,0.09893901350784665,0.0,0.034054026821893686
garlic,0.0,0.0,0.04256085912495205,0.0,0.0,0.0,0.0,0.0,0.0,0.03180764433474196,0.0,0.0,0.0,0.0,0.04299185509598335,0.03183906927899311,0.0,0.008776436931451205
rice,0.0,0.0,0.10251124184437918,0.0,0.0,0.0,0.0,0.0,0.0,0.09633658958825232,0.0,0.0,0.0,0.0,0.11195159785344433,0.09638006951622366,0.0,0.02395173522366468
artichoke,0.0,0.0,0.025557425614358042,0.025557425614358042,0.0,0.0,0.0,0.0,0.0,0.027078181470594723,0.0,0.0,0.0,0.0,0.026421152439252502,0.027105576414691742,0.0,0.007748221267838532
celery,0.0,0.0,0.015055856768496488,0.015055856768496488,0.0,0.0,0.0,0.0,0.0,0.011266004187258158,0.0,0.0,0.0,0.0,0.015218746604436815,0.011281874716852047,0.0,0.003992843473267059
pineapple,0.0,0.0,0.005253487327975472,0.0,0.0,0.0,0.005284744893754582,0.0,0.0,0.004700880745231599,0.0,0.0,0.0,0.0,0.005787328413273402,0.004704889018622189,0.0,0.0015136076705210143
coconut,0.0,0.0,0.03403554623675954,0.0,0.0,0.0,0.034189686805731534,0.0,0.0,0.032648629686756546,0.0,0.0,0.0,0.0,0.03853562417112425,0.032657575591904645,0.0,0.010121591911310382
carrot,0.0,0.0,0.009975033001279148,0.009975033001279148,0.0,0.0,0.0,0.0,0.0,0.009025797491684077,0.0,0.0,0.0,0.0,0.01039639400750154,0.009030716477304433,0.0,0.0028472337634734323
galangal,0.0,0.0,0.015179539475715006,0.0,0.0,0.0,0.0,0.0,0.0,0.012404083548769762,0.0,0.0,0.0,0.0,0.0,0.012422569923095851,0.0,0.0023533054675047424
asparagus,0.0,0.0,0.02205252972395533,0.02205252972395533,0.0,0.0,0.0,0.0,0.0,0.018679070313065847,0.0,0.0,0.0,0.0,0.022553880405207595,0.01868001246900842,0.0,0.006118707213834855
tomato,0.0,0.0,0.03470279004474625,0.03470279004474625,0.0,0.0,0.0,0.0,0.0,0.02875789656784284,0.0,0.0,0.0,0.0,0.04012944351217283,0.02878814997306784,0.0,0.009828298243680941
vegetable,0.0,0.0,0.07543824373133803,0.07543824373133803,0.0,0.0,0.0,0.0,0.0,0.07314491092743693,0.0,0.0,0.0,0.0,0.07788350867649638,0.07318287955219353,0.0,0.022063987448164873
aubergine,0.0,0.0,0.17645287049395766,0.17645287049395766,0.0,0.0,0.0,0.0,0.0,0.14465712514410287,0.0,0.0,0.0,0.0,0.18254794897969676,0.1448858854004812,0.0,0.04852921767718801
onion,0.0,0.0,0.030625808176951465,0.030625808176951465,0.0,0.0,0.0,0.0,0.0,0.023762242008295367,0.0,0.0,0.0,0.0,0.032025256247792615,0.02380218816378038,0.0,0.008284782516104193
cauliflower,0.0,0.0,0.014084459926096216,0.014084459926096216,0.0,0.0,0.0,0.0,0.0,0.011303682824296918,0.0,0.0,0.0,0.0,0.015256200177773198,0.011318906374557139,0.0,0.0038851593664011577
pimento,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sapodilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,0.0,0.0,0.03732654217758419,0.03732654217758419,0.0,0.0,0.0,0.0,0.0,0.035836373114232566,0.0,0.0,0.0,0.0,0.04218598580223902,0.03585457821357369,0.0,0.011090001263836096
corn,0.0,0.0,0.010669085324076738,0.0,0.0,0.0,0.010792677370257868,0.0,0.010368992317293428,0.00969793347548678,0.0,0.0,0.0,0.0,0.01118384843092251,0.009704047284980132,0.0,0.0036715637766480853
lime,0.0,0.0,0.004847584110326216,0.0,0.0,0.0,0.00488955250378678,0.0,0.004698296002264401,0.004317215427633387,0.0,0.0,0.0,0.0,0.005120837056144096,0.004319476963807908,0.0,0.0016584095331742816
bean,0.0,0.0,0.027684783646796343,0.027684783646796343,0.0,0.0,0.028205780894533468,0.0,0.0,0.023949052814868768,0.0,0.0,0.0,0.0,0.02833632720341926,0.023964288164544753,0.0,0.009401471551232877
pigweed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
